NNN,Station_Name,FIMIS_ID,LPNN,WMO,Lat,Lon,Elevation
6,Hammarland Notes,100919,14,2993,60.3,19.13,3
8,Pargas Fagerholm,100924,19,2950,60.11,21.7,3
9,Kumlinge Parish,100928,23,2790,60.26,20.75,23
