id,name,lat,lon,elevation,inception,zone,zoneid,location,locationid
101994,Kittilä Pokka,68.17,25.78,276,1971,NA,NA,NA,NA
102000,Sodankylä Lokka,67.82,27.75,240,1958,Boreal,6,in,1
102001,Sodankylä Vuotso,68.08,27.19,247,1958,Boreal,6,in,1
102005,Inari Saariselkä tourist centre,68.42,27.41,302,1976,Boreal,6,in,1
102006,Inari Saariselkä Kaunispää,68.43,27.44,437,1995,Boreal,6,in,1
102009,Inari Raja-Jooseppi,68.48,28.3,253,1992,Boreal,6,in,1
102012,Salla Värriötunturi,67.75,29.61,360,1971,Boreal,6,in,1
102016,Enontekiö Kilpisjärvi,69.05,20.79,480,1978,NA,NA,NA,NA
102017,Enontekiö Kilpisjärvi Saana,69.04,20.85,1002,1991,NA,NA,NA,NA
102019,Enontekiö Näkkälä,68.6,23.58,374,1960,NA,NA,NA,NA
102026,Inari Angeli Lintupuoliselkä,68.9,25.74,285,2008,NA,NA,NA,NA
102033,Inari Ivalo airport,68.61,27.42,140,1957,Boreal,6,in,1
102035,Utsjoki Kevo,69.76,27.01,107,1962,NA,NA,NA,NA
102036,Utsjoki Nuorgam,70.08,27.9,22,1929,NA,NA,NA,NA
102042,Inari Väylä,69.07,27.49,123,1990,NA,NA,NA,NA
102047,Inari Kaamanen,69.14,27.27,156,2008,NA,NA,NA,NA
102052,Inari Nellim,68.85,28.3,121,1990,Boreal,6,in,1
102055,Inari Kirakkajärvi,69.58,28.89,106,2009,Alpine,1,in,1
103786,Järvenpää Sorto,60.48,25.08,51,2018,NA,NA,NA,NA
103794,Mäntsälä Hirvihaara,60.63,25.19,83,2015,Boreal,6,in,1
103943,Helsinki Vuosaari Käärmeniementie,60.22,25.17,9,2016,NA,NA,NA,NA
104796,Lahti Sopenkorpi,60.97,25.62,NA,2016,Boreal,6,town,4
105392,Sipoo Itätoukki,60.1,25.19,5,2017,NA,NA,NA,NA
105427,Rauma Pyynpää,61.14,21.52,15,2018,Boreal,6,town,4
106435,Muonio parish,67.96,23.68,236,2013,NA,NA,NA,NA
107029,Pyhtää airfield,60.49,26.59,21,2019,Boreal,6,in,1
107081,Kuusamo Välikangas,66,29.22,266,2019,NA,NA,NA,NA
107113,Sotkamo Tuhkakylä,64,28.06,212,2019,NA,NA,NA,NA
107201,Tervola Loue,66.15,24.99,38,2020,NA,NA,NA,NA
126736,Kajaani Petäisenniska,64.22,27.75,160,2010,Boreal,6,town,4
126737,Utsjoki Kevo Kevojärvi,69.76,27.01,76,2010,NA,NA,NA,NA
129963,Inari Seitalaassa,69.05,27.76,120,2011,NA,NA,NA,NA
137188,Ilmajoki Seinäjoki airport,62.69,22.84,86,2012,NA,NA,NA,NA
137190,Rovaniemi airport AWOS,66.57,25.85,187,1999,NA,NA,NA,NA
137208,Jyväskylä airport AWOS,62.39,25.69,124,1999,Boreal,6,in,1
150168,Puumala parish,61.52,28.18,98,2012,Boreal,6,in,1
151028,Helsinki Vuosaari harbour,60.21,25.2,2,2012,NA,NA,NA,NA
151029,Mariehamn West Harbour,60.09,19.93,2,2012,NA,NA,NA,NA
151048,Lumparland Långnäs harbour,60.12,20.3,10,2012,NA,NA,NA,NA
151049,Tampere Tampella,61.5,23.76,91,2012,Boreal,6,town,4
778135,Kittilä Lompolonvuoma,68,24.21,270,2013,NA,NA,NA,NA
806428,Kuusamo Ruka Talvijärvi,66.17,29.14,306,2013,Boreal,6,in,1
852678,Espoo Nuuksio,60.29,24.57,NA,2014,Boreal,6,in,1
855522,Mikkeli airport AWOS,61.69,27.21,101,1959,NA,NA,NA,NA
874863,Espoo Tapiola,60.18,24.79,NA,2013,Boreal,6,town,4
